category,total_sale,total_freight
Unknown,185049.76,28613.14
agro_industry_and_commerce,72530.47,5843.6
air_conditioning,55024.96,6749.23
art,24202.64,4045.17
arts_and_craftmanship,1814.01,370.13
audio,50688.5,5710.44
auto,592720.11,92664.21
baby,411764.89,68353.11
bed_bath_table,1036988.68,204693.04
books_general_interest,46856.88,9195.52
books_imported,4639.85,769.85
books_technical,19096.06,4283.06
cds_dvds_musicals,730,224.98999999999998
christmas_supplies,8800.82,3229.2999999999997
cine_photo,6933.46,1256.2
computers,222963.13,9836.3
computers_accessories,911954.32,147318.08
consoles_games,157465.22,19828.02
construction_tools_construction,144677.59,20650.41
construction_tools_lights,41080,7583.8
construction_tools_safety,40544.52,3919.1
cool_stuff,635290.85,84039.1
costruction_tools_garden,25715.89,5311.4
costruction_tools_tools,15903.95,2030.22
diapers_and_hygiene,1567.59,573.68
drinks,22428.7,5741.25
dvds_blu_ray,5999.39,1288.74
electronics,160246.74,46578.32
fashio_female_clothing,2803.64,621.75
fashion_bags_accessories,152823.54,31450
fashion_childrens_clothes,569.85,95.51
fashion_male_clothing,10797.82,2152.41
fashion_shoes,23562.77,4918.87
fashion_sport,2119.51,578.13
fashion_underwear_beach,9541.55,1916.19
fixed_telephony,59583,4637.81
flowers,1110.04,488.87
food,29393.41,7271.03
food_drink,15179.48,4507.99
furniture_bedroom,20028.78,4632.23
furniture_decor,729762.49,172749.3
furniture_living_room,68916.56,17968.170000000002
furniture_mattress_and_upholstery,4368.08,1630.46
garden_tools,485256.46,98962.75
health_beauty,1258681.34,182566.73
home_appliances,80171.53,14818.9
home_appliances_2,113317.74,10600.18
home_comfort_2,760.27,410.31
home_confort,58572.04,8501.23
home_construction,83088.12,13832.24
housewares,632248.66,146149.11
industry_commerce_and_business,39669.61,7884.68
kitchen_dining_laundry_garden_furniture,46328.37,11999.43
la_cuisine,2054.99,333.55
luggage_accessories,140429.98,30445.23
market_place,28378.47,5456.06
music,6034.35,690.51
musical_instruments,191498.88,18638.49
office_furniture,273960.7,68571.95
party_supplies,4485.18,827.97
perfumery,399124.87,54213.84
pet_shop,214315.41,39561.24
security_and_services,283.28999999999996,41.22
signaling_and_security,21509.23,6507.82
small_appliances,190648.58,16020.25
small_appliances_home_oven_and_coffee,47445.71,2747.86
sports_leisure,988048.97,168607.51
stationery,230943.23,46798.48
tablets_printing_image,7528.41,1226.2
telephony,323667.52999999997,71215.79
toys,483946.6,77425.95
watches_gifts,1205005.68,100535.93
