seller_id,seller_city,total_outcome,Rolling_Total
ceb7b4fb9401cd378de7886317ad1b47,04482255,399.9,399.9
c8143b3069f6746a77421b5ce30a450c,abadia de goias,142.47,142.47
2f4b9d112bfa44a214bc6cef085d17c8,afonso claudio,293.99,293.99
3a52d63a8f9daf5a28f3626d7eb9bd28,aguas claras df,35,35
717b78b0950b51ed00b1471d858b0edc,alambari,138.6,138.6
05d2173d43ea568aa0540eba70d2ca76,alfenas,5759.66,5759.66
0aa124728afc1131dff5655f4c6f487b,alfenas,850.92,6610.58
c200c73f9d7e5a08ca439d6a0803da7c,almirante tamandare,40,40
f35becee938e982bd615edf8ef12bcfb,alvares machado,148.59,148.59
651fe66032c9520ee5587f694908040d,alvorada,464,464
02c988090b766852e088c69d7fb3b551,americana,1618.65,1618.65
0ed6ce5d87fd9c69eaacaeb778d67235,americana,2141.42,3760.07
19e0f40a907ec568c34bfac15de4f4a1,americana,178,3938.07
31ae0774c17fabd06ff707cc5bde005f,americana,6719.85,10657.92
427165bf50f8ca07efc7bdc2bfcf1688,americana,1603.5,12261.42
5a6a02f419701fc8c605af71d4fc57a4,americana,600.5,12861.92
984c273121e743dd14767befe6cb17f5,americana,259.6,13121.52
baeda7047354773262ba2405f97038ba,americana,35,13156.52
d263fa444c1504a75cbca5cc465f592a,americana,399,13555.52
ffad1e7127fb622cb64a900751590acd,americana,884.3,14439.82
7139dc5186aa238b006e066d8fbab2e4,amparo,1712,1712
83a75eea11694e36e56dd0cb2240229a,amparo,487,2199
9140bd1d9de28b197dce077bdd687438,amparo,1258.87,3457.87
e5def42655b7490edac5a56fe8e9e603,amparo,129.9,3587.77
fffd5413c0700ac820c7069d66d98c89,amparo,9062.3,12650.07
3785b653b1b82de85ab47dd139938091,ampere,1552,1552
17908cf9b444ee34047cadd5c0f4a516,anapolis,1993.99,1993.99
6a38087bc8ad4f89ff453561005f6dea,anapolis,1833.43,3827.42
8cb7c5ddf41f4d506eba76e9a4702a25,anapolis,138,3965.42
20cb7c2fde3e5bf10f0bbe7394e1c6a9,andira-pr,861.9,861.9
8cc6a0e5738e61a87b03c78b2ba9db4b,andradas,13312.4,13312.4
f00e21b1e91a79653163b7fd8f293ff1,andradas,3900.09,17212.489999999998
120476eb7a04c149d14772edaf5d9bf2,angra dos reis,2368.8,2368.8
c963a25b8671419c6ce9eebe8fd03218,angra dos reis rj,49,49
98115075dd26cb8835946fc6086f5d30,ao bernardo do campo,434.96,434.96
113e3a788b935f48aad63e1c41dac1bd,aparecida,847.35,847.35
9d5a9018aee56acb367ba9c3f05d1d6a,aparecida de goiania,10292.31,10292.31
d354c38a7182125a748cb10474fe963b,aperibe,1610.33,1610.33
257e61d3251fb5efb9daadddbc2cf7ca,apucarana,7729,7729
26d8a1c7c75d513045798992ead43aa2,apucarana,8244.12,15973.12
5debea795b07621e1f90532e18f96145,apucarana,1883.78,17856.9
69a43819c758c65a5befb0b471c954d7,apucarana,299.85,18156.75
9558aa23f77a9e0a0eca83540999f43b,apucarana,125.7,18282.45
c3f5668699a1b04c0fa61ecea1e2bff6,apucarana,407.81,18690.260000000002
d1ef48b38baca7e831711c4a0aeb398f,apucarana,1469.12,20159.38
d94ba08b99bedd6a5f6c875ecc4a6fac,apucarana,599,20758.38
4b39558c138930b9e5489c93b6df5fe3,aracaju,1096.7,1096.7
e48cc16ab70bfa09e1401740dce0b3d7,aracatuba,1084.83,1084.83
e83c76265fc54bf41eac728805e4da77,aracatuba,237.3,1322.1299999999999
ea846a0e7ad98a741783e886d89dfa44,aracatuba,137,1459.1299999999999
efcd8d2104f1a05d028af7bad20d974b,aracatuba,2424.78,3883.9100000000003
7299e27ed73d2ad986de7f7c77d919fa,araguari,34725.43,34725.43
8e6cc767478edae941d9bd9eb778d77a,araguari,6830.58,41556.01
ad8ada0ffa993cb1197d102d9ab21a3e,araguari,599.8,42155.81
b335c59ab742f751a85db9c411a86739,araguari,2873.34,45029.15
1d8dbc4f32378d715c717c1c1fc57bae,arapongas,11315.89,11315.89
2078fe5066350e7d220c0ad3a3bbc6c1,arapongas,29.9,11345.789999999999
5f26c1408a65b42a7224cd463bdf3292,arapongas,1139.8,12485.59
866558b3bccef2dbc6d29a2b5995016f,arapongas,1519.4,14004.99
ae7ab174effdead6c241e547e4ca13f0,arapongas,2778.6,16783.59
b6dc74ed30f124f95227bed4e43a3bed,arapongas,518.96,17302.55
c88f62b4c386a59281014d677864d016,arapongas,1099,18401.55
d2df77822373f19934e87694d8640767,arapongas,155.9,18557.45
e433f5fd4050e3352b5d83522b7fe24b,arapongas,548.06,19105.51
e4fc40017a6d22c46a14ac2e17f87c3e,arapongas,387,19492.51
1a8e2d9c38b84a9702ac7922924b0573,araquari,80,80
f650a9708fa1bab22bdd8d3a818cc415,ararangua,507.75,507.75
3586b8580d9c917874e053a1bb37b5ff,araraquara,1524.7,1524.7
3fd1e727ba94cfe122d165e176ce7967,araraquara,2805.2,4329.9
61b18775be84fb700a6b2d0ba097bf66,araraquara,334.5,4664.4
7816cd9c5b1238e320545f5bf7eb80e8,araraquara,489,5153.4
79565f7d5603b24ddf07ade262547f2f,araraquara,385,5538.4
834f3294fba9f932f56edc879193f925,araraquara,39907.5,45445.9
974cf2cb8f4b7add98709c30df02fe10,araraquara,2982.67,48428.57
a218df5c097b0ca409cfaac1488cc7f6,araraquara,130.69,48559.26
af3ef48d0e13835e529c29ac573c63e5,araraquara,1405.63,49964.89
d6b664fa0667064c6d76394e7848d790,araraquara,6080,56044.89
ef30892870c278497523264be1be2241,araraquara,783.2,56828.09
31da954dc0855f2495c6310f70a2f931,araras,4583,4583
45213867cefbf2cd4c6177e10216a951,araras,4955.42,9538.42
734def04b237117a09321dd6d8f3f2a2,araras,1252.43,10790.85
681fce914360217db47784ae28905a96,araucaria,4127.33,4127.33
9cea4682e16655f7da87f406902e989e,araucaria,87.76,4215.09
41c9d3997dd3c072c31139dc5bb5761f,araxa,998.8,998.8
f307937c1bb287c3efc2a514b94b0d1d,araxa,189.99,1188.79
fe1bbc5feda5c8979a8a1b3b2512d5a6,arinos,724.72,724.72
b2f4d63c7203f539a78252565ca32257,armacao dos buzios,14.9,14.9
