seller_city,average_revenue
04482255,399.9
abadia de goias,142.47
afonso claudio,293.99
aguas claras df,35
alambari,138.6
alfenas,3305.29
almirante tamandare,40
alvares machado,148.59
alvorada,464
americana,1443.982
amparo,2530.014
ampere,1552
anapolis,1321.8066666666666
andira-pr,861.9
andradas,8606.244999999999
angra dos reis,2368.8
angra dos reis rj,49
ao bernardo do campo,434.96
aparecida,847.35
aparecida de goiania,10292.31
aperibe,1610.33
apucarana,2594.7975
aracaju,1096.7
aracatuba,970.9775000000001
araguari,11257.2875
arapongas,1949.2509999999997
araquari,80
ararangua,507.75
araraquara,5166.19
araras,3596.9500000000003
araucaria,2107.545
araxa,594.395
arinos,724.72
armacao dos buzios,131.35
arraial d'ajuda (porto seguro),7595.87
artur nogueira,842.9333333333334
aruja,853.1033333333334
arvorezinha,3446.9
assis,3272.27875
atibaia,3754.5554545454547
auriflama,359.33
auriflama/sp,510
avare,47.4
bady bassitt,1806.36
baependi,12808.845
bage,248
bahia,849.5
balenario camboriu,507
balneario camboriu,1923.3100000000002
bandeirantes,539.7
barbacena,170
barbacena/ minas gerais,69.9
bariri,5683.25
barra mansa,730.3375
barra velha,257.25
barretos,1152.425
barrinha,36.49
barro alto,23.9
barueri,15081.013076923076
batatais,1897.8433333333335
bauru,1560.1278571428572
bebedouro,6018.97
belford roxo,149.95
belo horizont,178.9
belo horizonte,3053.9886764705884
bento goncalves,999.6966666666667
bertioga,4702.96
betim,5363.726000000001
birigui,1172.9850000000001
blumenau,2077.7542857142857
bocaiuva do sul,2243.9
bofete,9399.97
boituva,302.73333333333335
bom jardim,101.9
bom jesus dos perdoes,161.7
bombinhas,60130.6
bonfinopolis de minas,696
borda da mata,10086.91
botucatu,3371.3775
braco do norte,2418.3
braganca paulista,7246.024
brasilia,3135.535714285714
brasilia df,568.78
brejao,3654.25
brotas,25
brusque,4762.6849999999995
buritama,2575.9
cacador,119.8
cachoeira do sul,269.7
cachoeirinha,6715.433333333334
cachoeiro de itapemirim,868.4475
cafelandia,2244.6349999999998
caieiras,463.96
cajamar,12707.445
california,7630
camanducaia,871.8
cambe,295.79333333333335
camboriu,219.8
campanha,90
campina das missoes,1438.11
campina grande,77.5
campinas,4372.815853658537
campo bom,5085.15
campo do meio,3148
campo grande,1473.1975
campo largo,4337.2
campo limpo paulista,50686.4
campo magro,832.41
campo mourao,14737.84
campos dos goytacazes,1667
campos novos,174
cananeia,1642
canoas,2189.932222222222
canoinhas,3933.45
capivari,4386.57
carapicuiba,2185.962
carapicuiba / sao paulo,810.95
caratinga,391.15
carazinho,2969.8266666666673
cariacica,12600.015
cariacica / es,453
carmo da mata,74.9
carmo do cajuru,479.2
caruaru,122.805
cascavael,21.99
cascavel,7176.0485714285705
castro,4673.775000000001
castro pires,334.99
cataguases,1520
catanduva,799.4449999999999
caucaia,2777.72
caxias do sul,3551.3233333333333
centro,280.88
cerqueira cesar,1871.7
chapeco,413.5
cianorte,51.9
claudio,1303.61
clementina,224.3
colatina,656.77
colombo,3577.2237499999997
colorado,863.42
conchal,1456.48
concordia,3662
condor,24.9
congonhal,22873.21
congonhas,13422.24
conselheiro lafaiete,2511.1666666666665
contagem,1788.0091666666667
cordeiropolis,129.46
cordilheira alta,57.99
cornelio procopio,3026
coronel fabriciano,2939
cosmopolis,2836.5
cotia,3217.422
coxim,2658.9
cravinhos,138.6
criciuma,1874.9750000000001
cruzeiro,6271.98
cuiaba,4484.110000000001
curitiba,3706.7702362204723
curitibanos,2558.895
descalvado,3220.76
diadema,7574.969999999999
divinopolis,3648.13125
divisa nova,74.99
dois corregos,1738.85
domingos martins,862.9
dores de campos,513.25
dracena,5986.6
duque de caxias,2638.266666666667
echapora,1709.1299999999999
embu das artes,666
embu guacu,452.2
engenheiro coelho,793.9
entre rios do oeste,4465.34
erechim,450
estancia velha,430.9
eunapolis,1486.8
eusebio,64.9
extrema,1208
farroupilha,1162.9950000000001
fazenda rio grande,1090.9366666666667
feira de santana,1230
fernando prestes,86.6
fernandopolis,2627.2075
ferraz de  vasconcelos,108
ferraz de vasconcelos,1207.6299999999999
floranopolis,19.98
flores da cunha,820.9
floresta,1190.87
florianopolis,1594.336111111111
formiga,9585.19
formosa,109.45
formosa do oeste,1349.1
