payment_type,customer_city,total_orders,total_customers
credit_card,sao paulo,12226,12226
credit_card,rio de janeiro,5525,5525
boleto,sao paulo,2783,2783
credit_card,belo horizonte,2233,2233
credit_card,brasilia,1693,1693
credit_card,curitiba,1136,1136
boleto,rio de janeiro,1123,1123
credit_card,campinas,1078,1078
credit_card,porto alegre,1054,1054
credit_card,salvador,1018,1018
credit_card,guarulhos,925,925
voucher,sao paulo,914,914
credit_card,sao bernardo do campo,727,727
credit_card,niteroi,684,684
credit_card,santo andre,612,612
credit_card,osasco,569,569
credit_card,santos,539,539
credit_card,fortaleza,537,537
credit_card,goiania,535,535
credit_card,sao jose dos campos,509,509
credit_card,recife,494,494
credit_card,sorocaba,476,476
boleto,belo horizonte,468,468
credit_card,florianopolis,448,448
credit_card,jundiai,446,446
voucher,rio de janeiro,445,445
credit_card,ribeirao preto,399,399
boleto,brasilia,394,394
credit_card,nova iguacu,368,368
credit_card,contagem,347,347
credit_card,barueri,343,343
credit_card,juiz de fora,341,341
boleto,curitiba,336,336
credit_card,belem,332,332
boleto,campinas,317,317
credit_card,sao goncalo,315,315
credit_card,uberlandia,301,301
credit_card,vitoria,300,300
debit_card,sao paulo,295,295
credit_card,mogi das cruzes,291,291
boleto,porto alegre,286,286
credit_card,piracicaba,285,285
credit_card,carapicuiba,262,262
credit_card,maua,258,258
credit_card,sao luis,258,258
credit_card,vila velha,257,257
credit_card,sao jose do rio preto,255,255
credit_card,londrina,251,251
credit_card,praia grande,247,247
credit_card,campo grande,239,239
credit_card,sao caetano do sul,232,232
credit_card,teresina,229,229
credit_card,taboao da serra,226,226
credit_card,serra,215,215
credit_card,taubate,213,213
boleto,guarulhos,212,212
credit_card,duque de caxias,211,211
credit_card,diadema,210,210
credit_card,maringa,210,210
credit_card,joinville,208,208
credit_card,bauru,204,204
credit_card,maceio,202,202
credit_card,joao pessoa,201,201
credit_card,petropolis,199,199
credit_card,indaiatuba,196,196
credit_card,campos dos goytacazes,194,194
credit_card,cotia,193,193
credit_card,cuiaba,189,189
credit_card,sao carlos,183,183
boleto,salvador,182,182
credit_card,guaruja,182,182
credit_card,macae,182,182
boleto,sao bernardo do campo,175,175
credit_card,caxias do sul,174,174
credit_card,volta redonda,174,174
credit_card,americana,171,171
credit_card,aracaju,171,171
credit_card,suzano,170,170
credit_card,natal,165,165
credit_card,montes claros,163,163
boleto,santo andre,160,160
credit_card,marilia,159,159
boleto,sao jose dos campos,157,157
credit_card,canoas,157,157
credit_card,betim,156,156
boleto,santos,153,153
credit_card,feira de santana,152,152
credit_card,blumenau,146,146
credit_card,limeira,144,144
credit_card,santana de parnaiba,143,143
credit_card,valinhos,143,143
boleto,osasco,142,142
credit_card,uberaba,140,140
boleto,goiania,138,138
credit_card,jacarei,138,138
credit_card,santa maria,138,138
credit_card,itaquaquecetuba,135,135
credit_card,pelotas,132,132
credit_card,sumare,132,132
voucher,belo horizonte,132,132
boleto,sorocaba,129,129
credit_card,araraquara,129,129
credit_card,sao jose,129,129
voucher,salvador,128,128
credit_card,ipatinga,127,127
credit_card,nova friburgo,127,127
credit_card,presidente prudente,127,127
credit_card,cascavel,126,126
credit_card,embu das artes,126,126
credit_card,franca,126,126
credit_card,itapevi,126,126
boleto,niteroi,125,125
credit_card,rio claro,124,124
credit_card,sao vicente,123,123
credit_card,atibaia,122,122
credit_card,manaus,117,117
debit_card,rio de janeiro,114,114
credit_card,jaboatao dos guararapes,113,113
credit_card,sao joao de meriti,113,113
boleto,jundiai,112,112
credit_card,braganca paulista,111,111
credit_card,cariacica,111,111
credit_card,governador valadares,111,111
credit_card,itu,111,111
credit_card,aracatuba,109,109
credit_card,marica,108,108
credit_card,rio das ostras,108,108
boleto,florianopolis,107,107
credit_card,divinopolis,105,105
credit_card,pouso alegre,102,102
credit_card,sete lagoas,102,102
credit_card,sao jose dos pinhais,101,101
credit_card,cachoeiro de itapemirim,98,98
credit_card,pocos de caldas,98,98
credit_card,ponta grossa,98,98
boleto,recife,97,97
credit_card,barra mansa,97,97
credit_card,hortolandia,97,97
credit_card,paulinia,97,97
credit_card,resende,97,97
credit_card,rio grande,97,97
boleto,ribeirao preto,96,96
credit_card,novo hamburgo,94,94
credit_card,teresopolis,94,94
boleto,belem,93,93
boleto,fortaleza,93,93
boleto,sao luis,93,93
credit_card,cabo frio,92,92
voucher,campinas,92,92
credit_card,anapolis,90,90
credit_card,aparecida de goiania,90,90
voucher,niteroi,90,90
credit_card,mage,89,89
voucher,brasilia,89,89
credit_card,gravatai,88,88
credit_card,itajai,87,87
credit_card,ribeirao pires,87,87
credit_card,porto velho,86,86
credit_card,belford roxo,85,85
credit_card,franco da rocha,84,84
credit_card,sao leopoldo,83,83
credit_card,ferraz de vasconcelos,82,82
credit_card,nilopolis,82,82
credit_card,nova lima,82,82
credit_card,francisco morato,81,81
credit_card,palmas,81,81
credit_card,patos de minas,81,81
boleto,barueri,79,79
credit_card,santa luzia,79,79
credit_card,botucatu,78,78
credit_card,santa barbara d'oeste,78,78
boleto,mogi das cruzes,77,77
credit_card,pindamonhangaba,77,77
voucher,curitiba,77,77
voucher,guarulhos,77,77
boleto,indaiatuba,76,76
boleto,juiz de fora,76,76
credit_card,balneario camboriu,76,76
credit_card,assis,75,75
credit_card,caieiras,74,74
credit_card,olinda,74,74
boleto,sao goncalo,73,73
credit_card,itatiba,73,73
credit_card,ribeirao das neves,73,73
boleto,sao jose do rio preto,72,72
credit_card,mogi-guacu,72,72
credit_card,palhoca,72,72
credit_card,salto,72,72
boleto,piracicaba,71,71
credit_card,cajamar,71,71
credit_card,guaratingueta,71,71
credit_card,lages,71,71
credit_card,vinhedo,71,71
credit_card,vitoria da conquista,71,71
boleto,campo grande,70,70
credit_card,ananindeua,70,70
credit_card,araras,70,70
credit_card,caraguatatuba,70,70
credit_card,itajuba,70,70
credit_card,passo fundo,70,70
boleto,contagem,69,69
boleto,vitoria,69,69
credit_card,conselheiro lafaiete,69,69
credit_card,criciuma,69,69
credit_card,foz do iguacu,69,69
credit_card,chapeco,68,68
boleto,uberlandia,67,67
boleto,diadema,66,66
credit_card,araxa,65,65
credit_card,itapecerica da serra,65,65
credit_card,varginha,65,65
credit_card,lavras,64,64
credit_card,sao roque,64,64
credit_card,araruama,63,63
credit_card,mogi mirim,63,63
credit_card,angra dos reis,62,62
credit_card,catanduva,62,62
credit_card,itabira,62,62
credit_card,lauro de freitas,62,62
credit_card,lorena,62,62
credit_card,sao joao da boa vista,62,62
credit_card,sao joao del rei,62,62
credit_card,vicosa,62,62
boleto,bauru,61,61
boleto,serra,61,61
boleto,vila velha,61,61
credit_card,ourinhos,61,61
voucher,goiania,61,61
boleto,nova iguacu,60,60
credit_card,barbacena,60,60
credit_card,viamao,60,60
credit_card,votorantim,60,60
boleto,suzano,59,59
credit_card,ilheus,59,59
credit_card,itanhaem,59,59
credit_card,jau,59,59
credit_card,mesquita,59,59
credit_card,tatui,59,59
boleto,praia grande,58,58
voucher,sao bernardo do campo,58,58
boleto,taboao da serra,57,57
credit_card,itapetininga,57,57
credit_card,jaragua do sul,57,57
credit_card,mairipora,57,57
credit_card,rio branco,57,57
credit_card,teofilo otoni,57,57
voucher,porto alegre,57,57
boleto,cuiaba,56,56
credit_card,cubatao,56,56
credit_card,guarapari,56,56
credit_card,poa,56,56
credit_card,rio verde,56,56
boleto,carapicuiba,55,55
boleto,maringa,55,55
boleto,santa maria,55,55
credit_card,birigui,55,55
credit_card,parnamirim,55,55
credit_card,toledo,54,54
credit_card,ubatuba,54,54
credit_card,varzea paulista,54,54
credit_card,votuporanga,54,54
credit_card,aruja,53,53
credit_card,avare,53,53
credit_card,caruaru,53,53
credit_card,jandira,53,53
credit_card,manhuacu,53,53
boleto,cotia,52,52
boleto,volta redonda,52,52
credit_card,barretos,52,52
credit_card,petrolina,52,52
boleto,sao carlos,51,51
boleto,taubate,51,51
credit_card,campina grande,51,51
credit_card,paracatu,51,51
voucher,sao jose dos campos,51,51
boleto,maua,50,50
credit_card,dourados,50,50
credit_card,pirassununga,50,50
credit_card,sertaozinho,50,50
credit_card,valenca,50,50
boleto,canoas,49,49
boleto,joao pessoa,49,49
boleto,londrina,49,49
boleto,macae,49,49
credit_card,lagoa santa,49,49
credit_card,sao sebastiao,49,49
boleto,aracaju,48,48
boleto,pelotas,48,48
credit_card,caratinga,48,48
credit_card,linhares,48,48
voucher,osasco,48,48
boleto,caxias do sul,47,47
credit_card,amparo,47,47
credit_card,cachoeirinha,47,47
credit_card,colombo,47,47
credit_card,itauna,47,47
credit_card,lins,47,47
credit_card,queimados,47,47
credit_card,tubarao,47,47
boleto,joinville,46,46
boleto,uberaba,46,46
credit_card,camacari,46,46
credit_card,colatina,46,46
credit_card,itabuna,46,46
credit_card,rondonopolis,46,46
boleto,americana,45,45
credit_card,alvorada,45,45
credit_card,araguari,45,45
credit_card,barra do pirai,45,45
credit_card,brusque,45,45
credit_card,cruzeiro,45,45
credit_card,ituiutaba,45,45
credit_card,pinhais,45,45
credit_card,unai,45,45
boleto,duque de caxias,44,44
credit_card,cacapava,44,44
credit_card,guarapuava,44,44
credit_card,muriae,44,44
credit_card,timoteo,44,44
voucher,mogi das cruzes,44,44
boleto,limeira,43,43
boleto,montes claros,43,43
boleto,teresina,43,43
credit_card,fernandopolis,43,43
credit_card,nova serrana,43,43
credit_card,ouro preto,43,43
credit_card,santa cruz do sul,43,43
voucher,sao goncalo,43,43
boleto,betim,42,42
boleto,ponta grossa,42,42
boleto,sao caetano do sul,42,42
credit_card,bento goncalves,42,42
credit_card,ibirite,42,42
credit_card,itaborai,42,42
credit_card,jaguariuna,42,42
credit_card,leme,42,42
credit_card,tupa,42,42
boleto,hortolandia,41,41
boleto,maceio,41,41
boleto,sumare,41,41
credit_card,bage,41,41
credit_card,itaguai,41,41
credit_card,itapira,41,41
credit_card,joao monlevade,41,41
credit_card,matao,41,41
voucher,fortaleza,41,41
boleto,jacarei,40,40
credit_card,bertioga,40,40
credit_card,francisco beltrao,40,40
credit_card,jaboticabal,40,40
credit_card,paranagua,40,40
credit_card,uba,40,40
boleto,passo fundo,39,39
credit_card,campo mourao,39,39
credit_card,cosmopolis,39,39
debit_card,belo horizonte,39,39
boleto,santa barbara d'oeste,38,38
credit_card,apucarana,38,38
credit_card,araucaria,38,38
credit_card,erechim,38,38
credit_card,ijui,38,38
credit_card,itapeva,38,38
credit_card,peruibe,38,38
boleto,blumenau,37,37
boleto,campos dos goytacazes,37,37
boleto,itapevi,37,37
credit_card,artur nogueira,37,37
credit_card,campo limpo paulista,37,37
credit_card,embu-guacu,37,37
credit_card,ilhabela,37,37
credit_card,itaperuna,37,37
credit_card,pato branco,37,37
credit_card,santarem,37,37
credit_card,sao jose do rio pardo,37,37
credit_card,sao pedro da aldeia,37,37
credit_card,vespasiano,37,37
credit_card,videira,37,37
voucher,sorocaba,37,37
boleto,guaruja,36,36
boleto,sao vicente,36,36
credit_card,barreiras,36,36
credit_card,curvelo,36,36
credit_card,lajeado,36,36
credit_card,macapa,36,36
credit_card,saquarema,36,36
credit_card,uruguaiana,36,36
debit_card,guarulhos,36,36
voucher,recife,36,36
boleto,ipatinga,35,35
boleto,natal,35,35
boleto,petropolis,35,35
boleto,sao jose,35,35
credit_card,itapema,35,35
credit_card,pirapora,35,35
credit_card,sabara,35,35
credit_card,vargem grande paulista,35,35
voucher,cuiaba,35,35
voucher,santo andre,35,35
boleto,braganca paulista,34,34
boleto,embu das artes,34,34
boleto,santana de parnaiba,34,34
boleto,valinhos,34,34
credit_card,alfenas,34,34
credit_card,aracruz,34,34
credit_card,boituva,34,34
credit_card,cianorte,34,34
credit_card,guaira,34,34
credit_card,juazeiro,34,34
credit_card,lencois paulista,34,34
credit_card,passos,34,34
credit_card,patrocinio,34,34
credit_card,paulista,34,34
credit_card,sapucaia do sul,34,34
credit_card,coronel fabriciano,33,33
credit_card,itupeva,33,33
credit_card,louveira,33,33
credit_card,pedro leopoldo,33,33
credit_card,ponte nova,33,33
credit_card,registro,33,33
credit_card,tres coracoes,33,33
voucher,belem,33,33
boleto,itaquaquecetuba,32,32
credit_card,boa vista,32,32
credit_card,guaxupe,32,32
credit_card,jatai,32,32
credit_card,mossoro,32,32
credit_card,nova odessa,32,32
credit_card,paranavai,32,32
credit_card,porto seguro,32,32
credit_card,sao sebastiao do paraiso,32,32
credit_card,sinop,32,32
credit_card,tres lagoas,32,32
credit_card,valparaiso de goias,32,32
voucher,jundiai,32,32
voucher,sao jose dos pinhais,32,32
boleto,atibaia,31,31
boleto,chapeco,31,31
boleto,jandira,31,31
boleto,marilia,31,31
boleto,presidente prudente,31,31
