product_category_name_english,total_revenue
,106047.31
agro_industry_and_commerce,29179.2
food,8737.89
food_drink,7447.74
art,9291.79
arts_and_craftmanship,151.89000000000001
party_supplies,1863.39
christmas_supplies,2854.92
audio,17570.57
auto,243255.71
baby,153334.03
drinks,5004.06
health_beauty,481755.71
toys,307975.48
bed_bath_table,498440.43
home_confort,37688.590000000004
home_comfort_2,609.1800000000001
home_construction,23952.45
cds_dvds_musicals,665
cine_photo,695
air_conditioning,28253.01
consoles_games,88394.45
construction_tools_construction,20315.28
costruction_tools_tools,4087.29
construction_tools_lights,4053.48
costruction_tools_garden,8907.69
construction_tools_safety,8264.8
cool_stuff,393620.65
dvds_blu_ray,4866.68
home_appliances,23850.83
home_appliances_2,24064.88
electronics,56011.159999999996
small_appliances,101367.1
sports_leisure,452148.84
fashion_bags_accessories,81565.15
fashion_shoes,15036.11
fashion_sport,1750.01
fashio_female_clothing,2132.08
fashion_childrens_clothes,399.88
fashion_male_clothing,8471.05
fashion_underwear_beach,7072.55
garden_tools,268882.71
flowers,270.5
diapers_and_hygiene,76
industry_commerce_and_business,8736.57
computers_accessories,405078.69
musical_instruments,81883.93
la_cuisine,1273.99
books_imported,1123.99
books_general_interest,19630.49
books_technical,5762.22
luggage_accessories,76136.19
market_place,19506.71
furniture_mattress_and_upholstery,2548.28
kitchen_dining_laundry_garden_furniture,18576.64
furniture_decor,337213.12
office_furniture,129009.71
furniture_bedroom,8847.61
furniture_living_room,35284.409999999996
music,1558.39
stationery,94582.92
,519.96
computers,159230.79
perfumery,214974
pet_shop,85081.7
small_appliances_home_oven_and_coffee,821.95
watches_gifts,492794.5
security_and_services,283.28999999999996
signaling_and_security,4442.99
tablets_printing_image,6260.45
telephony,142814.64
fixed_telephony,30372.84
housewares,231073.49
