city,total_sale,total_freight
04482255,399.9,16.55
abadia de goias,142.47,43.41
afonso claudio,293.99,119.27
aguas claras df,35,17.78
alambari,138.6,81.15
alfenas,6610.58,1787.13
almirante tamandare,40,28.2
alvares machado,148.59,78.22
alvorada,464,128.73
americana,14439.82,2289.89
amparo,12650.07,3607.72
ampere,1552,481.27
anapolis,3965.42,1093.71
andira-pr,861.9,798.38
andradas,17212.49,1096.79
angra dos reis,2368.8,150.83
angra dos reis rj,49,19.32
ao bernardo do campo,434.96,56.24
aparecida,847.35,686.6
aparecida de goiania,10292.31,1689.9
aperibe,1610.33,315.85
apucarana,20758.38,3375.94
aracaju,1096.7,132.4
aracatuba,3883.91,1336.16
araguari,45029.15,9804.22
arapongas,19492.51,4351.79
araquari,80,17
ararangua,507.75,86.83
araraquara,56828.09,7538.33
araras,10790.85,912.25
araucaria,4215.09,575.94
araxa,1188.79,138.35
arinos,724.72,137.53
armacao dos buzios,262.7,69.45
arraial d'ajuda (porto seguro),7595.87,839.34
artur nogueira,2528.8,445.18
aruja,2559.31,567.5
arvorezinha,3446.9,602.46
assis,26178.23,6062.96
atibaia,41300.11,9744.47
auriflama,359.33,124.3
auriflama/sp,510,130.36
avare,47.4,12.79
bady bassitt,3612.72,821.3
baependi,25617.69,6479.79
bage,248,18.11
bahia,849.5,239.54
balenario camboriu,507,52.77
balneario camboriu,5769.93,761.28
bandeirantes,539.7,229.74
barbacena,170,22.94
barbacena/ minas gerais,69.9,23.64
bariri,11366.5,1022.47
barra mansa,2921.35,596.94
barra velha,257.25,194.13
barretos,4609.7,1531.55
barrinha,36.49,34.69
barro alto,23.9,42.38
barueri,196053.17,8348.28
batatais,5693.53,1169.91
bauru,21841.79,4064.69
bebedouro,6018.97,2177.99
belford roxo,299.9,43.23
belo horizont,178.9,18.82
belo horizonte,207671.23,46556.88
bento goncalves,2999.09,1442.65
bertioga,4702.96,980.97
betim,26818.63,5211.56
birigui,11729.85,2335.48
blumenau,43632.84,10586.89
bocaiuva do sul,2243.9,246.5
bofete,9399.97,379.49
boituva,908.2,307.2
bom jardim,101.9,52.54
bom jesus dos perdoes,161.7,41.78
bombinhas,60130.6,3054.39
bonfinopolis de minas,696,104.64
borda da mata,40347.64,9905.11
botucatu,13485.51,2946.37
braco do norte,2418.3,526.7
braganca paulista,36230.12,1841.04
brasilia,87795,17681.38
brasilia df,568.78,93.03
brejao,3654.25,1175.46
brotas,25,38.05
brusque,47626.85,10807.52
buritama,2575.9,341.47
cacador,119.8,40.87
cachoeira do sul,269.7,89.33
cachoeirinha,20146.3,3994.22
cachoeiro de itapemirim,3473.79,506.24
cafelandia,4489.27,1453.42
caieiras,463.96,499.04
cajamar,25414.89,4765.11
california,7630,862.65
camanducaia,871.8,249.22
cambe,887.38,167.21
camboriu,219.8,35.18
campanha,90,16.39
campina das missoes,1438.11,453.19
campina grande,77.5,71.8
campinas,179285.45,22297.9
campo bom,10170.3,521.23
campo do meio,3148,588.53
campo grande,5892.79,749.03
campo largo,13011.6,2202.12
campo limpo paulista,101372.8,23277.24
campo magro,832.41,73.44
campo mourao,14737.84,1382.82
campos dos goytacazes,1667,221.44
campos novos,174,16.98
cananeia,1642,220.35
canoas,19709.39,4442.3
