review_year,review_Month,Date,average_review_score,customer_city
2016,10,2016-10,4.08,sao goncalo
2016,11,2016-11,3.19,ipatinga
2016,12,2016-12,2.36,cuiaba
2017,01,2017-01,4.36,mogi das cruzes
2017,02,2017-02,4.26,rio de janeiro
2017,03,2017-03,4.03,santana de parnaiba
2017,04,2017-04,4.03,gravatal
2017,05,2017-05,4.1,jacarei
2017,06,2017-06,4.13,santa rita de jacutinga
2017,07,2017-07,4.18,sao paulo
2017,08,2017-08,4.22,rio de janeiro
2017,09,2017-09,4.18,montes claros
2017,10,2017-10,4.18,congonhas
2017,11,2017-11,4.12,colatina
2017,12,2017-12,3.93,timoteo
2018,01,2018-01,4.06,osasco
2018,02,2018-02,4.02,santo antonio de jesus
2018,03,2018-03,3.72,nova odessa
2018,04,2018-04,3.92,sao paulo
2018,05,2018-05,4.19,sao paulo
2018,06,2018-06,4.2,salvador
2018,07,2018-07,4.29,barra mansa
2018,08,2018-08,4.19,resende
