review_year,review_Month,average_review_score,customer_city
2016,10,3.72,coromandel
2016,10,4,nossa senhora da gloria
2016,10,3.61,sao goncalo
2016,10,2,vargem
2016,11,4,apuarema
2016,11,4,bacaxa
2016,11,5,capim branco
2016,11,3.73,faxinal dos guedes
2016,11,4.5,iacu
2016,11,3.98,ipatinga
2016,12,5,barreirinhas
2016,12,1,cacimbinhas
2016,12,3.9,cuiaba
2017,01,4.74,bastos
2017,01,4,boa vista das missoes
2017,01,4,cruzeiro da fortaleza
2017,01,2.67,gouveia
2017,01,4.26,itajuba
2017,01,5,jari
2017,01,4.15,mogi das cruzes
2017,01,3.81,petropolis
2017,01,2.67,piedade dos gerais
2017,01,4.75,sao pedro dos ferros
2017,02,4,ajapi
2017,02,4.27,alvinopolis
2017,02,5,amarante
2017,02,4.12,aracatuba
2017,02,4.79,astolfo dutra
2017,02,3.25,barra de sao joao
2017,02,4.42,brotas
2017,02,4.29,buriticupu
2017,02,5,cajobi
2017,02,4.5,camocim de sao felix
2017,02,5,campestre da serra
2017,02,4,canaa
2017,02,4.14,cantagalo
2017,02,4.18,capinopolis
2017,02,5,capitao eneas
2017,02,3.83,cardoso
2017,02,4.67,carrancas
2017,02,3.83,catole do rocha
2017,02,5,cha grande
2017,02,3.77,claudio
2017,02,4,coite do noia
2017,02,4.5,colonia leopoldina
2017,02,4.67,conceicao do tocantins
2017,02,4.02,cruzeiro
2017,02,2.5,cuite
2017,02,3.67,curaca
2017,02,4.62,embu
2017,02,1,faxinalzinho
2017,02,2,garruchos
2017,02,5,godoy moreira
2017,02,5,grandes rios
2017,02,1,ibipeba
2017,02,3.86,ipaussu
2017,02,5,iraucuba
2017,02,4,itaberaba
2017,02,3.97,itabirito
2017,02,4.25,itaipava
2017,02,3.67,janiopolis
2017,02,3.33,japira
2017,02,3.98,joinville
2017,02,5,juvenilia
2017,02,4.67,lagoa dos gatos
2017,02,4,mariano moro
2017,02,4.5,mogi-mirim
2017,02,2.33,motuca
2017,02,4,nova independencia
2017,02,5,palmares paulista
2017,02,5,palmeira d oeste
