category,review_year,review_Month,average_review_score
agro_industria_e_comercio,2017,02,4.17
agro_industria_e_comercio,2017,03,3.17
agro_industria_e_comercio,2017,05,5
agro_industria_e_comercio,2017,06,4.5
agro_industria_e_comercio,2017,07,3
agro_industria_e_comercio,2017,09,4.17
agro_industria_e_comercio,2017,10,4.5
agro_industria_e_comercio,2017,11,3.43
agro_industria_e_comercio,2017,12,3.23
agro_industria_e_comercio,2018,01,4.53
agro_industria_e_comercio,2018,02,4.52
agro_industria_e_comercio,2018,03,4.09
agro_industria_e_comercio,2018,04,3.64
agro_industria_e_comercio,2018,05,4.46
agro_industria_e_comercio,2018,06,4
agro_industria_e_comercio,2018,07,4.19
agro_industria_e_comercio,2018,08,3.71
alimentos,2016,10,5
alimentos,2017,02,5
alimentos,2017,03,4
alimentos,2017,04,3.89
alimentos,2017,05,4
alimentos,2017,06,3
alimentos,2017,07,5
alimentos,2017,08,4.8
alimentos,2017,09,4.38
alimentos,2017,10,4.58
alimentos,2017,11,3.92
alimentos,2017,12,4
alimentos,2018,01,4
alimentos,2018,02,3.3
alimentos,2018,03,4.13
alimentos,2018,04,3.93
alimentos,2018,05,4.34
alimentos,2018,06,4.44
alimentos,2018,07,4.42
alimentos,2018,08,4.37
alimentos_bebidas,2017,03,5
alimentos_bebidas,2017,04,3
alimentos_bebidas,2017,05,4.62
alimentos_bebidas,2017,06,4
alimentos_bebidas,2017,07,4.5
alimentos_bebidas,2017,08,4.62
alimentos_bebidas,2017,09,4.44
alimentos_bebidas,2017,10,3.71
alimentos_bebidas,2017,11,4.46
alimentos_bebidas,2017,12,3.74
alimentos_bebidas,2018,01,4.64
alimentos_bebidas,2018,02,4.17
alimentos_bebidas,2018,03,4.32
alimentos_bebidas,2018,04,4.5
alimentos_bebidas,2018,05,4.46
alimentos_bebidas,2018,06,4.07
alimentos_bebidas,2018,07,4.45
alimentos_bebidas,2018,08,4.58
artes,2017,03,4.67
artes,2017,04,3
artes,2017,05,4
artes,2017,06,4.38
artes,2017,07,2.4
artes,2017,08,4
artes,2017,09,3.33
artes,2017,10,4.6
artes,2017,12,5
artes,2018,01,3.44
artes,2018,02,3.47
artes,2018,03,3.88
artes,2018,04,4.47
artes,2018,05,4.31
artes,2018,06,3.89
artes,2018,07,4.05
artes,2018,08,3.78
artes_e_artesanato,2017,05,5
artes_e_artesanato,2017,07,5
artes_e_artesanato,2018,05,4
artes_e_artesanato,2018,07,3.43
artes_e_artesanato,2018,08,4.38
artigos_de_festas,2017,08,5
artigos_de_festas,2017,09,1
artigos_de_festas,2017,10,4.5
artigos_de_festas,2017,11,5
artigos_de_festas,2017,12,3.75
artigos_de_festas,2018,02,3.5
artigos_de_festas,2018,03,3.2
artigos_de_festas,2018,04,2.33
artigos_de_festas,2018,05,5
artigos_de_festas,2018,06,3
artigos_de_festas,2018,07,4.5
artigos_de_festas,2018,08,4.29
artigos_de_natal,2017,05,5
artigos_de_natal,2017,07,4.5
artigos_de_natal,2017,08,4.33
artigos_de_natal,2017,09,4.8
artigos_de_natal,2017,10,4
artigos_de_natal,2017,11,4.26
artigos_de_natal,2017,12,3.67
artigos_de_natal,2018,01,4.3
artigos_de_natal,2018,02,3.92
artigos_de_natal,2018,03,2.93
artigos_de_natal,2018,04,3.93
artigos_de_natal,2018,05,4.33
artigos_de_natal,2018,06,4.67
artigos_de_natal,2018,07,4.57
artigos_de_natal,2018,08,4
audio,2016,10,5
audio,2017,02,4
audio,2017,03,3.58
audio,2017,04,4.86
audio,2017,05,3.55
audio,2017,06,4.07
audio,2017,07,3.71
audio,2017,08,3.89
audio,2017,09,4.2
audio,2017,10,4.14
audio,2017,11,3.04
audio,2017,12,3.8
audio,2018,01,4.05
audio,2018,02,4.21
audio,2018,03,2.89
audio,2018,04,3.42
audio,2018,05,3.75
audio,2018,06,4.13
audio,2018,07,4.2
audio,2018,08,4.35
automotivo,2016,10,2.5
automotivo,2016,11,4.5
automotivo,2016,12,2.33
automotivo,2017,01,3.36
automotivo,2017,02,4.42
automotivo,2017,03,4.02
automotivo,2017,04,3.93
automotivo,2017,05,3.97
automotivo,2017,06,3.99
automotivo,2017,07,4.07
automotivo,2017,08,4.18
automotivo,2017,09,4.23
automotivo,2017,10,3.86
automotivo,2017,11,4.12
automotivo,2017,12,4
automotivo,2018,01,4.06
automotivo,2018,02,3.96
automotivo,2018,03,3.78
automotivo,2018,04,4.06
automotivo,2018,05,4.04
automotivo,2018,06,4.08
automotivo,2018,07,4.27
automotivo,2018,08,4.29
bebes,2016,10,3.67
bebes,2016,11,4.33
bebes,2016,12,1
bebes,2017,01,4.83
bebes,2017,02,4.51
bebes,2017,03,4.1
bebes,2017,04,4.17
bebes,2017,05,4.05
bebes,2017,06,3.73
bebes,2017,07,4.37
bebes,2017,08,4.26
bebes,2017,09,4.18
