category,season,review_year,average_review_score
agro_industria_e_comercio,Fall,2017,3.42
agro_industria_e_comercio,Spring,2017,4.75
agro_industria_e_comercio,Summer,2017,3.88
agro_industria_e_comercio,Winter,2017,3.67
agro_industria_e_comercio,Spring,2018,4.07
agro_industria_e_comercio,Summer,2018,3.94
agro_industria_e_comercio,Winter,2018,4.31
alimentos,Fall,2016,5
alimentos,Fall,2017,4.16
alimentos,Spring,2017,3.83
alimentos,Summer,2017,4.63
alimentos,Winter,2017,4.22
alimentos,Spring,2018,4.22
alimentos,Summer,2018,4.38
alimentos,Winter,2018,3.83
alimentos_bebidas,Fall,2017,3.97
alimentos_bebidas,Spring,2017,4.32
alimentos_bebidas,Summer,2017,4.54
alimentos_bebidas,Winter,2017,5
alimentos_bebidas,Spring,2018,4.37
alimentos_bebidas,Summer,2018,4.55
alimentos_bebidas,Winter,2018,4.37
artes,Fall,2017,4.78
artes,Spring,2017,4.07
artes,Summer,2017,2.8
artes,Winter,2017,4.67
artes,Spring,2018,4.16
artes,Summer,2018,3.91
artes,Winter,2018,3.56
artes_e_artesanato,Spring,2017,5
artes_e_artesanato,Summer,2017,5
artes_e_artesanato,Spring,2018,4
artes_e_artesanato,Summer,2018,4.05
artigos_de_festas,Fall,2017,4.25
artigos_de_festas,Summer,2017,2.33
artigos_de_festas,Spring,2018,3.22
artigos_de_festas,Summer,2018,4.31
artigos_de_festas,Winter,2018,3.29
artigos_de_natal,Fall,2017,3.96
artigos_de_natal,Spring,2017,5
artigos_de_natal,Summer,2017,4.6
artigos_de_natal,Spring,2018,4.22
artigos_de_natal,Summer,2018,4.19
artigos_de_natal,Winter,2018,3.65
audio,Fall,2016,5
audio,Fall,2017,3.65
audio,Spring,2017,3.95
audio,Summer,2017,3.9
audio,Winter,2017,3.64
audio,Spring,2018,3.67
audio,Summer,2018,4.29
audio,Winter,2018,3.73
automotivo,Fall,2016,2.75
automotivo,Fall,2017,4
automotivo,Spring,2017,3.97
automotivo,Summer,2017,4.16
automotivo,Winter,2017,4.14
automotivo,Spring,2018,4.06
automotivo,Summer,2018,4.28
automotivo,Winter,2018,3.92
bebes,Fall,2016,3.43
bebes,Fall,2017,3.95
bebes,Spring,2017,3.93
bebes,Summer,2017,4.26
bebes,Winter,2017,4.38
bebes,Spring,2018,3.96
bebes,Summer,2018,4.2
bebes,Winter,2018,3.77
bebidas,Fall,2017,4.2
bebidas,Spring,2017,3.17
bebidas,Summer,2017,4.6
bebidas,Winter,2017,4.5
bebidas,Spring,2018,4.04
bebidas,Summer,2018,4.06
bebidas,Winter,2018,3.96
beleza_saude,Fall,2016,3.24
beleza_saude,Fall,2017,4.14
beleza_saude,Spring,2017,4.16
beleza_saude,Summer,2017,4.15
beleza_saude,Winter,2017,4.17
beleza_saude,Spring,2018,4.17
beleza_saude,Summer,2018,4.26
beleza_saude,Winter,2018,4
brinquedos,Fall,2016,3.72
brinquedos,Fall,2017,4.14
brinquedos,Spring,2017,4.4
brinquedos,Summer,2017,4.31
brinquedos,Winter,2017,4.34
brinquedos,Spring,2018,4.17
brinquedos,Summer,2018,4.21
brinquedos,Winter,2018,3.75
cama_mesa_banho,Fall,2016,3.38
cama_mesa_banho,Fall,2017,3.7
cama_mesa_banho,Spring,2017,4.03
cama_mesa_banho,Summer,2017,4.08
cama_mesa_banho,Winter,2017,4.13
cama_mesa_banho,Spring,2018,3.88
cama_mesa_banho,Summer,2018,4.11
cama_mesa_banho,Winter,2018,3.72
casa_conforto,Fall,2017,3.71
casa_conforto,Spring,2017,3.64
