date,customer_city,Delivery_lead_time,Estimated_Delivery_lead_time
2016-09,sao joaquim da barra,1315,443
2016-10,alem paraiba,809,1346
2016-10,ananindeua,840,1549
2016-10,aparecida de goiania,182,1446
2016-10,apuarema,548,1544
2016-10,aracaju,1174,1495
2016-10,bacaxa,646,1300
2016-10,bage,357,1299
2016-10,balneario barra do sul,428,1299
2016-10,barreirinhas,169,1543
2016-10,barueri,214,1302
2016-10,bayeux,905,1559
2016-10,bebedouro,288,1259
2016-10,bela cruz,454,1539
2016-10,belo horizonte,572,1316.4
2016-10,benedito novo,526,1304
2016-10,boa vista,205,1593
2016-10,brasilia,551.33,1392.5
2016-10,cachoeira do sul,338,1208
2016-10,cachoeiro de itapemirim,579,1402
2016-10,caetanopolis,209,1297
2016-10,cambe,203,1255
2016-10,campinas,263,1282
2016-10,campo mourao,505,1310
2016-10,campos do jordao,181,1225
2016-10,canoas,572,1401
2016-10,cantagalo,406,1353
2016-10,capim branco,616,1298
2016-10,capinopolis,243,1267
2016-10,capivari,168,1250
2016-10,caratinga,313,1302
2016-10,cariacica,216,1781
2016-10,carmo da mata,593,1302
2016-10,casa branca,256,1205
2016-10,caxias do sul,278,1303
2016-10,charqueada,627,1260
2016-10,cianorte,168,1252
2016-10,cidade gaucha,274,1296
2016-10,condor,297,1380
2016-10,contagem,255,1305
2016-10,coromandel,294,1307
2016-10,coronel fabriciano,261,1299
2016-10,cotia,494,1249
2016-10,cuiaba,168,1498
2016-10,curitiba,377.6,1321.6
2016-10,diadema,168,1263
2016-10,duque de caxias,838,1447
2016-10,eunapolis,199,1492
2016-10,faxinal dos guedes,771,1309
2016-10,ferraz de vasconcelos,714,1299
2016-10,florianopolis,743,1424
2016-10,fortaleza,829,1911.25
2016-10,gaspar,182,1283
2016-10,goiania,316.75,1448.25
2016-10,gravatal,169,1258
2016-10,guapimirim,160,1301
2016-10,guarulhos,341,1356
2016-10,hortolandia,661,1201
2016-10,iacu,747,1504
2016-10,ibimirim,319,1546
2016-10,ibirite,628,1302
2016-10,igarassu,485,1544
2016-10,indaiatuba,899,1269
2016-10,ipatinga,688,1249
2016-10,itaquaquecetuba,225,1269
2016-10,ituiutaba,472,1296
2016-10,jacarei,185,1201
2016-10,juiz de fora,184.5,1263
2016-10,leme,192,1304
2016-10,limeira,631.5,1304
2016-10,lins,184,1260
2016-10,londrina,356,1293
2016-10,macae,450,1380
2016-10,maceio,793,1597
2016-10,marica,337,1777
2016-10,maringa,168,1300
2016-10,maua,305.5,1238
2016-10,mesquita,269,1212
2016-10,mogi-guacu,676,1210
2016-10,mongagua,410,1256
2016-10,montes claros,344,1306
2016-10,mozarlandia,735,1393
2016-10,nanuque,762,1280
2016-10,natal,469,1569.5
2016-10,niteroi,469,1214
2016-10,nossa senhora da gloria,493,1297
2016-10,nova esperanca,831,1489
2016-10,novo hamburgo,609,1367
2016-10,novo progresso,773,1599
