product_category_name_english,customer_city,revenue_per_segment,deal_per_location_category
bed_bath_table,sao paulo,1914924.54,17808
bed_bath_table,rio de janeiro,992538.86,7837
computers_accessories,belo horizonte,355611.13,3144
computers_accessories,brasilia,301920.25,2392
toys,curitiba,211738.06,1751
consoles_games,campinas,187844.53,1654
telephony,porto alegre,190562.08,1612
electronics,salvador,181104.42,1412
health_beauty,guarulhos,144268.39,1329
food,sao bernardo do campo,104540.99,1060
cool_stuff,niteroi,117907.12,980
computers_accessories,santo andre,92083.5,891
furniture_decor,osasco,82157.86,850
health_beauty,santos,98777.09,820
sports_leisure,goiania,106111.17,817
health_beauty,sao jose dos campos,78650.94,781
baby,fortaleza,97868.06,728
computers_accessories,sorocaba,76551.76,703
telephony,recife,89803.01,677
health_beauty,florianopolis,85925.99,660
sports_leisure,jundiai,81310.3,656
musical_instruments,ribeirao preto,65637.01,582
sports_leisure,nova iguacu,60234.09,503
perfumery,belem,80977.48,491
fashion_bags_accessories,contagem,49542.22,484
computers_accessories,barueri,51328.35,479
,juiz de fora,65140.77,473
health_beauty,sao goncalo,52514.84,444
garden_tools,mogi das cruzes,52007.78,440
fashion_bags_accessories,vitoria,53189.78,424
health_beauty,piracicaba,52307.98,414
sports_leisure,uberlandia,48551.97,408
auto,sao luis,51026.91,391
watches_gifts,sao jose do rio preto,47070.55,380
sports_leisure,carapicuiba,32235.88,376
toys,vila velha,48285.18,366
computers_accessories,campo grande,57121.67,360
garden_tools,praia grande,39671.02,355
watches_gifts,maua,43639.96,346
computers_accessories,londrina,46465.26,333
housewares,diadema,29393.24,330
health_beauty,taboao da serra,35733.3,329
sports_leisure,indaiatuba,37334.1,328
diapers_and_hygiene,maringa,37862.29,317
furniture_decor,serra,36357.33,314
auto,sao caetano do sul,32452.6,305
health_beauty,teresina,49967.43,304
perfumery,taubate,29724.56,303
cool_stuff,duque de caxias,34029.68,302
perfumery,joao pessoa,53164.81,299
office_furniture,bauru,39462.26,298
air_conditioning,cuiaba,39171.17,297
health_beauty,joinville,34772.57,290
auto,petropolis,33230.1,282
auto,sao carlos,30244.33,279
computers_accessories,cotia,31082.38,278
computers_accessories,macae,31337.8,272
toys,americana,24926.37,262
garden_tools,guaruja,29773.76,261
sports_leisure,maceio,44702.48,260
cool_stuff,campos dos goytacazes,34660.36,258
garden_tools,suzano,25334.87,257
office_furniture,volta redonda,33354,251
garden_tools,caxias do sul,38480.07,251
watches_gifts,aracaju,36507.8,243
garden_tools,montes claros,26690.89,239
construction_tools_lights,canoas,26785.25,233
computers_accessories,santa maria,31810.54,232
industry_commerce_and_business,natal,35929.37,230
office_furniture,limeira,23083.89,223
office_furniture,betim,29992.31,221
auto,valinhos,22546.55,216
housewares,uberaba,28688.24,213
auto,santana de parnaiba,23294.05,213
housewares,blumenau,24755.36,213
baby,jacarei,18479.13,212
watches_gifts,marilia,33904.28,209
garden_tools,pelotas,22387.13,208
bed_bath_table,sumare,21487.92,205
toys,ipatinga,21957.22,202
office_furniture,franca,22443.73,199
watches_gifts,sao jose,20350.46,198
health_beauty,feira de santana,27652.19,197
health_beauty,itapevi,18348.91,195
watches_gifts,cascavel,24731.28,185
toys,rio claro,20505.56,184
perfumery,atibaia,20913.21,183
books_general_interest,presidente prudente,26196.13,181
food,sao vicente,21371.98,180
garden_tools,itaquaquecetuba,19365.24,180
audio,araraquara,20352.07,180
bed_bath_table,embu das artes,20727.72,176
toys,divinopolis,35301.77,164
books_general_interest,ponta grossa,18923.38,163
health_beauty,nova friburgo,28024.89,163
computers_accessories,aracatuba,16733.59,163
health_beauty,braganca paulista,20127.62,160
luggage_accessories,hortolandia,16523.21,159
watches_gifts,rio das ostras,20268.71,158
health_beauty,cariacica,17574.58,157
garden_tools,manaus,20652.56,156
housewares,sao joao de meriti,18796.24,155
auto,marica,15670.96,154
books_technical,governador valadares,19659.05,152
auto,pocos de caldas,17190.35,151
toys,pouso alegre,21372.21,148
baby,novo hamburgo,19847.08,148
cool_stuff,itu,12707.03,147
bed_bath_table,paulinia,16658.69,144
telephony,jaboatao dos guararapes,21405.16,144
baby,sao jose dos pinhais,15124.05,143
watches_gifts,sete lagoas,17308.35,139
stationery,resende,13545.25,137
perfumery,santa barbara d'oeste,13072.08,135
watches_gifts,cachoeiro de itapemirim,15871.63,135
furniture_decor,barra mansa,20086.96,135
computers_accessories,mage,16186.65,133
office_furniture,cabo frio,17182.67,133
agro_industry_and_commerce,rio grande,16516.78,132
health_beauty,palmas,19742.48,131
home_construction,teresopolis,17115.29,129
construction_tools_construction,passo fundo,15223.21,129
computers_accessories,itajai,19348.57,129
food,ferraz de vasconcelos,15768.28,127
furniture_decor,anapolis,17179.78,127
computers_accessories,chapeco,15322.25,126
perfumery,porto velho,21938.53,124
watches_gifts,aparecida de goiania,14554.46,122
pet_shop,belford roxo,13932.95,121
watches_gifts,ribeirao pires,10149.63,120
health_beauty,ribeirao das neves,12674.44,119
home_appliances,gravatai,19110.02,119
sports_leisure,balneario camboriu,16958.38,119
baby,nilopolis,13718.18,118
musical_instruments,vinhedo,9152.87,115
cool_stuff,sao leopoldo,11064.67,115
furniture_decor,franco da rocha,10122.2,115
garden_tools,cajamar,9873.27,115
,araras,13327.37,114
furniture_decor,palhoca,11440.12,113
watches_gifts,criciuma,15422.08,113
bed_bath_table,botucatu,17179.5,113
watches_gifts,santa luzia,12094.46,112
perfumery,jaragua do sul,12966.56,111
,itapecerica da serra,8738.78,109
consoles_games,francisco morato,9365.31,109
home_confort,caraguatatuba,13536.86,109
housewares,vicosa,16474.05,108
construction_tools_construction,itajuba,14115.6,108
computers_accessories,pindamonhangaba,13070.16,107
perfumery,itatiba,12049.31,107
sports_leisure,angra dos reis,18893.04,107
health_beauty,mogi-guacu,12453.82,106
baby,itanhaem,10506.24,106
health_beauty,vitoria da conquista,16497.2,105
signaling_and_security,guaratingueta,14751.12,105
construction_tools_construction,patos de minas,16791.97,104
consoles_games,nova lima,20962.05,104
sports_leisure,caieiras,13624.52,104
health_beauty,salto,10709.39,102
telephony,assis,12199.23,101
construction_tools_construction,poa,9343.45,100
books_technical,jandira,8260.47,100
toys,votorantim,10901.22,99
health_beauty,varginha,14223,99
fashion_bags_accessories,olinda,13149.78,98
auto,foz do iguacu,11586.38,98
fashion_bags_accessories,ananindeua,18075.24,98
perfumery,mesquita,9191.92,96
telephony,lages,11340.11,96
stationery,sao joao da boa vista,11786.81,95
perfumery,lavras,13297.75,95
computers_accessories,itabira,10544.49,95
furniture_decor,birigui,14611.34,95
toys,teofilo otoni,7744.23,94
cool_stuff,ourinhos,12543.03,94
bed_bath_table,lorena,7965.02,94
electronics,itapetininga,12232.88,94
auto,rio verde,9609.9,92
toys,sao roque,9602.33,91
toys,barbacena,12296.61,91
fashion_bags_accessories,araxa,13136.21,91
furniture_decor,araruama,17199.19,89
telephony,ubatuba,8900.83,87
cool_stuff,mogi mirim,9010.97,87
watches_gifts,ilheus,8906.74,87
cool_stuff,cubatao,6996.03,87
pet_shop,conselheiro lafaiete,9434.37,87
sports_leisure,cacapava,10160.07,86
books_general_interest,viamao,6655.1,85
garden_tools,varzea paulista,10780.18,85
musical_instruments,lauro de freitas,8954.88,85
garden_tools,jau,9460.56,84
musical_instruments,cachoeirinha,9297.25,84
sports_leisure,barretos,9500.97,84
watches_gifts,tatui,11331.03,83
computers_accessories,mairipora,9087.38,83
bed_bath_table,rio branco,14038.2,82
bed_bath_table,catanduva,10149.83,82
watches_gifts,jaguariuna,8502.37,81
telephony,colatina,6925.51,81
art,caruaru,9535.69,81
bed_bath_table,santa cruz do sul,10360.88,80
bed_bath_table,sao sebastiao,11040.34,78
perfumery,manhuacu,8510,78
consoles_games,paracatu,8430.41,77
cool_stuff,linhares,12211.41,77
health_beauty,aruja,7614.78,77
auto,votuporanga,8372.9,76
industry_commerce_and_business,toledo,10053.64,76
electronics,guarapuava,8625.45,76
health_beauty,colombo,7531.9,75
furniture_living_room,campina grande,17500.53,75
bed_bath_table,camacari,7294.22,75
fashion_bags_accessories,sertaozinho,6884.13,74
pet_shop,sao joao del rei,8297.97,74
market_place,pirassununga,8550.33,74
telephony,pinhais,8711.82,74
furniture_decor,muriae,11015.42,74
fashion_shoes,guarapari,10544.41,74
baby,dourados,8907.7,74
bed_bath_table,amparo,11751.58,74
construction_tools_construction,rondonopolis,12243.04,73
watches_gifts,paranagua,9244.45,73
stationery,caratinga,9690.26,71
bed_bath_table,parnamirim,9402.89,70
stationery,avare,8382.97,70
musical_instruments,petrolina,14313,69
furniture_decor,uba,6369.76,68
computers_accessories,cruzeiro,6109.5,68
fashion_bags_accessories,valenca,10314.05,67
housewares,tubarao,10606.13,67
furniture_decor,ituiutaba,5547.87,67
furniture_decor,itabuna,8523.72,67
watches_gifts,queimados,6156.75,66
furniture_decor,pato branco,9047.64,66
health_beauty,lagoa santa,8400.97,66
health_beauty,itapeva,6635.93,66
bed_bath_table,ijui,5584.45,66
computers_accessories,bage,9435.64,66
small_appliances,apucarana,7283.7,66
auto,ouro preto,6861.56,65
health_beauty,araucaria,5086.1,65
furniture_decor,peruibe,6681.02,64
watches_gifts,itauna,7942.95,64
toys,itaborai,7134.27,64
garden_tools,concordia,5963.39,64
furniture_decor,campo mourao,7259.52,64
watches_gifts,timoteo,7783.77,63
art,erechim,6478.28,63
health_beauty,brusque,8421.55,63
sports_leisure,bento goncalves,6828.56,63
auto,macapa,11451.92,62
telephony,lins,9189.96,62
watches_gifts,tupa,6483.03,61
sports_leisure,itupeva,5355.51,61
auto,jatai,10040.37,60
telephony,jaboticabal,6706.02,60
computers_accessories,itapira,7519.54,60
bed_bath_table,cosmopolis,6747.8,60
watches_gifts,bebedouro,4992.89,60
electronics,alvorada,7702.2,60
fashion_bags_accessories,joao monlevade,6959.85,59
furniture_decor,francisco beltrao,7491.38,59
cool_stuff,barreiras,11043.93,59
auto,nova serrana,7856.26,58
stationery,matao,7207.71,58
home_construction,lajeado,8188.41,58
health_beauty,fernandopolis,7445.06,58
housewares,araguari,10869.52,58
bed_bath_table,unai,6825.39,57
bed_bath_table,paranavai,7228.95,57
auto,embu-guacu,6244.68,57
,sinop,6474.65,56
telephony,santo angelo,5433.26,56
garden_tools,patrocinio,6817.53,56
auto,boituva,7412.05,56
fashion_bags_accessories,videira,8107.6,55
electronics,uruguaiana,4653.96,55
telephony,barra do pirai,5543.41,55
stationery,itaperuna,6963.57,54
computers_accessories,leme,8152.92,53
furniture_decor,bertioga,9520.55,53
sports_leisure,alfenas,5350.32,53
computers_accessories,tres coracoes,4493.83,52
cool_stuff,guaira,4519.02,52
kitchen_dining_laundry_garden_furniture,saquarema,4673.05,51
toys,sao jose do rio pardo,5106.24,51
health_beauty,porto seguro,12890.09,51
auto,ibirite,7410.68,51
home_construction,campo limpo paulista,5013.34,51
telephony,boa vista,7739.53,51
consoles_games,andradina,6794.42,51
stationery,sao pedro da aldeia,4672.43,50
home_construction,sao mateus,6569.97,50
cool_stuff,registro,6288.47,50
electronics,pedro leopoldo,5057.01,50
watches_gifts,paulista,6212.37,50
health_beauty,itaguai,6417.74,50
health_beauty,ilhabela,3286.28,50
bed_bath_table,curvelo,5541,50
fashion_bags_accessories,artur nogueira,6029.68,50
cool_stuff,vespasiano,6172.59,49
health_beauty,vargem grande paulista,5833.55,49
office_furniture,sapucaia do sul,5683.84,49
furniture_decor,pirapora,6803.07,49
telephony,juazeiro,7677.28,49
housewares,varzea grande,7055.55,48
housewares,sao miguel do oeste,6155.72,48
stationery,penapolis,4776.58,48
computers_accessories,itapema,6109.87,48
luggage_accessories,uniao da vitoria,5081.93,47
food,tres lagoas,7431.32,47
furniture_decor,sao bento do sul,4869.9,47
electronics,santarem,5387.66,47
garden_tools,ponte nova,7106.89,47
computers_accessories,extrema,5477.83,47
housewares,vassouras,4491.8,46
perfumery,tiete,4142.82,46
cool_stuff,passos,4247.28,46
computers_accessories,mongagua,5367.53,46
perfumery,louveira,4777.82,46
furniture_decor,lencois paulista,6720.22,46
sports_leisure,itumbiara,5156.12,46
telephony,esteio,6521.86,46
computers_accessories,paulo afonso,6492.59,45
furniture_decor,ouro branco,4419.23,45
housewares,nova odessa,4438.61,45
electronics,japeri,4458.27,45
books_technical,capao da canoa,4692.09,45
computers_accessories,sabara,4481.78,44
watches_gifts,imperatriz,7171.38,44
auto,cianorte,4863.67,44
health_beauty,rio do sul,4777.85,43
furniture_decor,luis eduardo magalhaes,8343.87,43
home_confort,coronel fabriciano,4201.7,43
stationery,campo largo,3894.89,43
toys,bom despacho,4680.53,43
furniture_living_room,alagoinhas,6249.23,43
pet_shop,valparaiso de goias,5437.85,42
home_construction,monte mor,4544.84,42
books_general_interest,gaspar,10643.04,42
computers_accessories,eunapolis,6944.8,42
home_construction,catalao,5454.03,42
cool_stuff,campo bom,4394.71,42
watches_gifts,caldas novas,5301.63,42
toys,cacador,4569.38,42
electronics,aracruz,4064.07,42
bed_bath_table,seropedica,4391.15,41
computers_accessories,sao joaquim da barra,4302.49,41
furniture_decor,para de minas,7162.08,41
health_beauty,osorio,6251.24,41
perfumery,olimpia,5862.54,41
telephony,maracanau,5342.73,41
sports_leisure,guaxupe,6081.17,41
garden_tools,arapongas,6617.96,41
health_beauty,araguaina,8203.54,41
toys,umuarama,5770.52,40
computers_accessories,tres rios,7227.52,40
sports_leisure,tremembe,4876.03,40
luggage_accessories,mococa,6295.97,40
cool_stuff,guanambi,4589.57,40
computers_accessories,alegrete,4483.77,40
computers_accessories,sao lourenco,4222.89,39
cool_stuff,pedreira,2893.6,39
cool_stuff,mossoro,4875.46,39
baby,juazeiro do norte,7034.78,39
luggage_accessories,itarare,3915.3,39
toys,formosa,5282.15,39
auto,arraial do cabo,5237.89,39
bed_bath_table,santo antonio de padua,5330.88,38
bed_bath_table,santa rita do sapucai,3910.7,38
telephony,santa cruz do rio pardo,2621.48,38
baby,dracena,4538.05,38
auto,almirante tamandare,4255.69,38
books_technical,adamantina,5425.97,38
fashion_male_clothing,telemaco borba,4693.49,37
perfumery,taquaritinga,4604.03,37
cool_stuff,sao sebastiao do paraiso,4800.05,37
fashion_male_clothing,guaiba,5417.51,37
baby,garanhuns,4107.48,37
watches_gifts,caucaia,5856.66,37
perfumery,sobral,11368.84,36
bed_bath_table,santa rosa,2972.04,36
garden_tools,paracambi,6571.96,36
industry_commerce_and_business,orlandia,4027.32,36
