season,year,customer_city,total_revenue,total_freight_value
Fall,2016,alem paraiba,69.9,19.48
Fall,2016,ananindeua,189,48.45
Fall,2016,aparecida de goiania,49,25.15
Fall,2016,apuarema,169.99,34.39
Fall,2016,aracaju,58,21.99
Fall,2016,aracariguama,64.9,25.33
Fall,2016,bacaxa,57.9,14.61
Fall,2016,bage,129.99,24.11
Fall,2016,balneario barra do sul,59.9,25.92
Fall,2016,barra mansa,87.99,16.61
Fall,2016,barreirinhas,39.99,24.84
Fall,2016,barueri,139.9,21.34
Fall,2016,bayeux,49.9,24.84
Fall,2016,bebedouro,107.99,11.8
Fall,2016,bela cruz,629.9,31.85
Fall,2016,belo horizonte,1505.24,236.23
Fall,2016,belo jardim,119.5,25.04
Fall,2016,benedito novo,119.8,29.74
Fall,2016,boa vista,39.7,29.32
Fall,2016,brasilia,1043.77,156.34
Fall,2016,cacequi,390,69.14
Fall,2016,cachoeira do sul,49.9,11.74
Fall,2016,cachoeiro de itapemirim,99.9,19.53
Fall,2016,cacimbinhas,32.5,20.8
Fall,2016,caetanopolis,19.9,14.52
Fall,2016,cambe,72,15.9
Fall,2016,campinas,581.48,152.74
Fall,2016,campo mourao,30.97,14.52
Fall,2016,campos do jordao,11.9,10.96
Fall,2016,campos dos goytacazes,299.9,13.68
Fall,2016,canoas,89.9,23.27
Fall,2016,cantagalo,49,16.11
Fall,2016,capim branco,54.9,14.73
Fall,2016,capinopolis,19.9,14.52
Fall,2016,capivari,74.9,12.02
Fall,2016,caraguatatuba,128.7,12.29
Fall,2016,caratinga,193.8,18.52
Fall,2016,cariacica,69.9,19.26
Fall,2016,carmo da mata,89.9,15.49
Fall,2016,casa branca,131,12.78
Fall,2016,caxias do sul,647,74.12
Fall,2016,charqueada,128.9,16.04
Fall,2016,cianorte,59.9,11.31
Fall,2016,cidade gaucha,319.6,63.64
Fall,2016,condor,35,16.05
Fall,2016,contagem,58,14.6
Fall,2016,coromandel,49,14.72
Fall,2016,coronel fabriciano,30.97,14.52
Fall,2016,cotia,29.99,10.96
Fall,2016,cuiaba,327.79,174.84
Fall,2016,curitiba,417.68,203.96
Fall,2016,diadema,30.97,10.96
Fall,2016,duque de caxias,136.9,25.7
Fall,2016,eunapolis,19.99,20.8
Fall,2016,faxinal dos guedes,109.99,16.26
Fall,2016,ferraz de vasconcelos,149.9,19.33
Fall,2016,florianopolis,135,18.51
Fall,2016,fortaleza,999.58,203.37
Fall,2016,gaspar,29.9,14.59
Fall,2016,goiania,756.59,100.64
Fall,2016,gravatal,739.98,44.82
Fall,2016,guapimirim,389,60.65
Fall,2016,guarulhos,79.9,16.33
Fall,2016,hortolandia,119.9,13.56
Fall,2016,iacu,54.9,20.94
Fall,2016,ibimirim,149.9,27.38
Fall,2016,ibirite,128.9,21.01
Fall,2016,igarassu,649,169.12
Fall,2016,indaiatuba,99.9,16.27
Fall,2016,ipatinga,74.9,17.37
Fall,2016,itabuna,649.17,25.16
Fall,2016,itaquaquecetuba,949.99,21.97
Fall,2016,itu,69.9,17.63
Fall,2016,ituiutaba,44.9,15.7
Fall,2016,jacarei,22.9,15.46
Fall,2016,jaguariuna,189.9,12.87
Fall,2016,juiz de fora,619.9,55.81
Fall,2016,lagoa santa,22.37,17.78
Fall,2016,leme,294.9,20.34
Fall,2016,limeira,932.8,59.05
Fall,2016,lins,18.9,10.96
Fall,2016,londrina,358.77,59.660000000000004
Fall,2016,macae,62.9,17.35
Fall,2016,maceio,49.99,26.61
Fall,2016,marica,380.99,45.26
Fall,2016,maringa,249,16.95
Fall,2016,maua,329.89,32.96
Fall,2016,mesquita,45.89,11.17
Fall,2016,mimoso do sul,58,17.33
Fall,2016,mogi-guacu,128.9,16.04
Fall,2016,mongagua,219.8,29.92
Fall,2016,montes claros,379.9,18.22
Fall,2016,mozarlandia,128.9,25.67
Fall,2016,nanuque,129.97,29.38
Fall,2016,natal,561.79,100.26
Fall,2016,niteroi,299.9,13.82
Fall,2016,nossa senhora da gloria,161.55,15.3
Fall,2016,nova esperanca,79.8,29.04
Fall,2016,novo hamburgo,49.99,19.36
Fall,2016,novo progresso,179.7,81
Fall,2016,osasco,79.9,16.33
Fall,2016,ouro preto,51.5,14.53
Fall,2016,panambi,21.9,17.19
Fall,2016,parnamirim,148,30.11
Fall,2016,parobe,89.9,17.47
Fall,2016,pauliceia,128.9,16.04
Fall,2016,petropolis,15.9,14.52
Fall,2016,piracicaba,99.9,16.27
Fall,2016,pirassununga,149.99,11.66
Fall,2016,poa,79.99,11.17
Fall,2016,pocos de caldas,381.79,119.32
Fall,2016,porto alegre,1065.06,133.3
Fall,2016,praia grande,209.8,27.29
Fall,2016,quissama,1299.99,100.75
Fall,2016,recife,450.7,97.85
Fall,2016,ribeirao preto,499.8,35.18
Fall,2016,rinopolis,64.8,11.13
Fall,2016,rio branco do sul,18.9,14.52
Fall,2016,rio das pedras,15,10.96
Fall,2016,rio de janeiro,7241.49,660.35
Fall,2016,rondon do para,629.9,34.03
Fall,2016,salto,179.9,16.37
Fall,2016,salto veloso,199,15.98
Fall,2016,santa cruz,18.9,22.28
Fall,2016,santa cruz do sul,39.99,22.34
Fall,2016,santa ines,19.9,24.84
Fall,2016,santa isabel,86.99,28.23
Fall,2016,santa rosa,24.9,20.8
Fall,2016,santarem,89,32.01
Fall,2016,santo andre,341.3,65.12
Fall,2016,santo angelo,129.8,38.97
Fall,2016,santo antonio da patrulha,949.99,32.42
Fall,2016,santo antonio de padua,39.9,10.96
Fall,2016,santo antonio do sudoeste,49,20.49
Fall,2016,santos,453.33000000000004,47.93000000000001
Fall,2016,sao bernardo do campo,102.78999999999999,41.04
Fall,2016,sao caetano do sul,89.9,27.96
Fall,2016,sao carlos,69.89,22.91
Fall,2016,sao francisco,65.9,23.18
Fall,2016,sao goncalo,838.8,79.61
Fall,2016,sao goncalo do sapucai,49.9,11.74
Fall,2016,sao joao da boa vista,249.9,17.59
Fall,2016,sao jose,379.89,38.03
Fall,2016,sao jose de ribamar,176.97,87.11
Fall,2016,sao jose do rio pardo,138,22.44
Fall,2016,sao jose dos campos,180.9,24.16
Fall,2016,sao jose dos pinhais,59.9,11.31
Fall,2016,sao lourenco,56,20.47
Fall,2016,sao luis,467.40000000000003,157.8
Fall,2016,sao paulo,3998.59,608.91
Fall,2016,sao sebastiao,95,17.78
Fall,2016,senador canedo,49.9,18.82
Fall,2016,serra negra,99.9,16.26
Fall,2016,sertaozinho,24.9,10.96
Fall,2016,siqueira campos,299.99,17.91
Fall,2016,sobral,59.9,25.18
Fall,2016,soledade de minas,119.9,15.01
Fall,2016,sorocaba,86.99,28.23
Fall,2016,suzano,334.89,39.72
Fall,2016,tapejara,128.9,23.22
Fall,2016,tatui,199.8,24.52
Fall,2016,taubate,159.79,43.45
Fall,2016,teresina,210,36.09
Fall,2016,uberlandia,479.89,35.32
Fall,2016,uruguaiana,239.9,12.29
Fall,2016,valinhos,88,11.23
Fall,2016,vargem,29.9,10.96
Fall,2016,vargem grande paulista,1199,28.78
Fall,2016,varginha,179.88,40.35
Fall,2016,vila velha,689.99,93.23
Fall,2016,xanxere,599.6,77.32
Summer,2016,boa vista,72.89,63.34
Summer,2016,passo fundo,59.5,15.56
Summer,2016,sao joaquim da barra,134.97,8.49
Fall,2017,abaete,91.06,36.62
Fall,2017,abaetetuba,580.27,39.38
Fall,2017,abaiara,93.9,37.8
Fall,2017,abatia,117.89,32.98
Fall,2017,abelardo luz,447,40.870000000000005
Fall,2017,abrantes,539,22.01
Fall,2017,abre campo,147.98,51.870000000000005
Fall,2017,abreu e lima,757,119.91
Fall,2017,acailandia,149,34.84
Fall,2017,acarau,264.70000000000005,107.81
Fall,2017,acreuna,43.8,30.2
Fall,2017,acu,105.99,48.18
Fall,2017,adamantina,1463.19,171.52
Fall,2017,adhemar de barros,139,27.29
Fall,2017,adolfo,204,12.93
Fall,2017,afonso claudio,95,17.92
Fall,2017,agrestina,1989,77.34
Fall,2017,agua boa,659.79,38.629999999999995
Fall,2017,agua fria de goias,152,15.81
Fall,2017,aguai,1362.23,181.41
Fall,2017,aguas belas,189,89.55000000000001
Fall,2017,aguas de lindoia,325.8,236.43
Fall,2017,aguas lindas de goias,228.98000000000002,39.68
Fall,2017,aguas vermelhas,294.88,48.61
Fall,2017,agudos,261.97,71.17999999999999
Fall,2017,aimores,126.99,33.04
Fall,2017,alagoa grande,139.99,38.53
Fall,2017,alagoinha,269.9,69.62
Fall,2017,alagoinhas,828.9,79.42
Fall,2017,alegre,306.8,48.66
Fall,2017,alegrete,674.59,119.6
Fall,2017,alem paraiba,599.49,109.34
Fall,2017,alfenas,1116.3600000000001,233.12
Fall,2017,alfredo chaves,105.6,16.67
Fall,2017,alfredo wagner,34.9,17.6
Fall,2017,alhandra,659,210.09
Fall,2017,almenara,1553.91,58.08
Fall,2017,almino afonso,299.9,170.11
Fall,2017,almirante tamandare,672.75,205.37
Fall,2017,alpinopolis,59.99,15.17
Fall,2017,alta floresta,75,37.7
Fall,2017,altamira,590.1899999999999,131.9
Fall,2017,alterosa,52.9,15.12
Fall,2017,alto alegre,108,16.52
Fall,2017,alto alegre do pindare,199,60.56
Fall,2017,alto araguaia,449.89,63.75
Fall,2017,alto do rodrigues,514.56,111.04
Fall,2017,alto horizonte,55.91,15.14
Fall,2017,alto jequitiba,79.99,26.18
Fall,2017,alto paraiso,56.99,16.16
Fall,2017,alto parana,299,16.84
Fall,2017,alto rio doce,45.8,31.21
Fall,2017,altonia,175,21.72
Fall,2017,aluminio,159,12.61
Fall,2017,alvares florence,115.96,13.83
Fall,2017,alvares machado,109.9,12.27
Fall,2017,alvinopolis,99.8,35.59
Fall,2017,alvorada,1373.4,323.18
Fall,2017,alvorada do norte,44.9,15.1
Fall,2017,amambai,292.3,51.49
Fall,2017,amelia rodrigues,334.89,18.78
Fall,2017,americana,4250.93,656.8100000000001
Fall,2017,americo brasiliense,219.79,63.64
Fall,2017,amparo,966.74,147.59
Fall,2017,amparo da serra,49.95,16.11
Fall,2017,ananindeua,3087.31,568.19
Fall,2017,anapolis,3060.4700000000003,566.85
Fall,2017,anchieta,594.4,195.44
Fall,2017,andira,103.46,15.47
